,Unnamed: 0,name,职业素养,通用能力,职业技能
172,172,资金专员,,,
173,173,市场路通专员,,,
174,174,维修经理,,,
175,175,客户经理,,,
176,176,维修主管,,,
177,177,出纳专员,,,
178,178,爬虫开发工程师,,,
179,179,算法工程师,,,
180,180,文员,,,
181,181,中级会计,,,
